brand,model,year,price_inr,horsepower,mileage,fuel_type,transmission,top_speed,resale_value,owner_type,notes
Ferrari,Roma,2016,30687840,681,4.4,Petrol,Automatic,291,16400000.0,Second Owner,Imported
Ferrari,Roma,2012,58831865,653,4.2,Petrol,Automatic,308,28980000.0,First Owner,Luxury edition
Ferrari,Roma,2013,30908543,659,5.9,Hybrid,Automatic,227,18760000.0,Third Owner,Luxury edition
Ferrari,Roma,2011,58040521,636,6.3,Hybrid,Manual,317,37030000.0,Second Owner,
Ferrari,Roma,2019,25420908,710,4.6,Petrol,Automatic,317,15970000.0,Third Owner,
Ferrari,Roma,2018,42651675,563,4.1,Hybrid,Manual,312,23960000.0,Third Owner,Luxury edition
Ferrari,Roma,2010,35786049,632,4.9,Hybrid,Automatic,225,16510000.0,First Owner,Luxury edition
Ferrari,Roma,2021,26690068,637,5.7,Diesel,Manual,304,17350000.0,First Owner,Luxury edition
Ferrari,Roma,2018,56049984,671,6.3,Hybrid,Automatic,271,36310000.0,Second Owner,Imported
Ferrari,Roma,2012,39092149,623,5.0,Diesel,Manual,276,25030000.0,Second Owner,Single owner
Ferrari,Roma,2018,32979498,621,6.4,Petrol,Automatic,291,21360000.0,Second Owner,Imported
Ferrari,Roma,2019,24061348,593,5.0,Diesel,Automatic,277,10580000.0,First Owner,Imported
Ferrari,Roma,2016,22707779,638,6.7,Petrol,Manual,289,9570000.0,Second Owner,Luxury edition
Ferrari,Roma,2022,23191956,655,4.3,Hybrid,Automatic,229,10720000.0,Second Owner,
Ferrari,Roma,2021,54107955,604,5.0,Diesel,Manual,258,33980000.0,Second Owner,Imported
Ferrari,Roma,2020,44907325,686,5.1,Petrol,Manual,292,23000000.0,Third Owner,Well maintained
Ferrari,Roma,2018,59785977,665,5.1,Diesel,Automatic,315,34980000.0,Second Owner,Well maintained
Ferrari,Roma,2015,54901442,675,6.1,Hybrid,Automatic,286,29680000.0,Third Owner,Well maintained
Ferrari,Roma,2015,45889966,564,5.9,Hybrid,Manual,241,20030000.0,First Owner,Imported
Ferrari,Roma,2014,36792920,606,4.9,Hybrid,Automatic,257,18000000.0,First Owner,Imported
Ferrari,Roma,2010,57010236,663,5.5,Petrol,Manual,250,37080000.0,Third Owner,Well maintained
Ferrari,Roma,2023,47538586,615,5.9,Petrol,Automatic,290,28150000.0,Second Owner,Well maintained
Ferrari,Roma,2022,58848016,599,6.7,Hybrid,Automatic,231,26990000.0,Third Owner,
Ferrari,Roma,2021,43238547,679,6.2,Diesel,Manual,307,18580000.0,Third Owner,Well maintained
Ferrari,Roma,2015,37491724,576,4.4,Petrol,Automatic,307,22270000.0,Second Owner,Single owner
Ferrari,Roma,2018,55518184,674,5.6,Petrol,Manual,308,36590000.0,Second Owner,Well maintained
Ferrari,Roma,2016,43528920,607,4.4,Hybrid,Manual,251,23620000.0,Third Owner,Well maintained
Ferrari,Roma,2019,32352108,680,6.7,Diesel,Manual,242,21460000.0,First Owner,
Ferrari,Roma,2016,54558643,654,5.7,Petrol,Automatic,224,26930000.0,Third Owner,Luxury edition
Ferrari,Roma,2010,28685180,680,5.8,Petrol,Automatic,264,19830000.0,First Owner,Imported
Ferrari,Roma,2022,26139490,553,5.2,Diesel,Automatic,263,14270000.0,Second Owner,Single owner
Ferrari,Roma,2012,56797573,576,4.3,Diesel,Automatic,267,38050000.0,Third Owner,
Ferrari,Roma,2014,41277002,604,4.1,Diesel,Automatic,256,18540000.0,Second Owner,Imported
Ferrari,Roma,2012,44061093,597,6.7,Hybrid,Manual,317,18000000.0,Third Owner,
Ferrari,Roma,2017,24267304,563,6.1,Diesel,Manual,236,15710000.0,Third Owner,Single owner
Ferrari,Roma,2022,22486472,610,6.6,Hybrid,Manual,273,10430000.0,First Owner,Well maintained
Ferrari,Roma,2020,37961294,605,6.3,Hybrid,Manual,290,22950000.0,Third Owner,Well maintained
Ferrari,Roma,2020,36789462,686,4.3,Diesel,Automatic,290,17050000.0,Third Owner,Well maintained
Ferrari,Roma,2015,25500684,620,6.4,Hybrid,Manual,228,10510000.0,Second Owner,
Ferrari,Roma,2020,28046125,642,5.6,Petrol,Automatic,326,11780000.0,Third Owner,Single owner
Ferrari,Roma,2017,22678438,676,4.6,Hybrid,Automatic,300,10900000.0,First Owner,Imported
Ferrari,Roma,2015,56971879,655,5.6,Diesel,Automatic,292,36530000.0,First Owner,Single owner
Ferrari,Roma,2023,43762218,716,5.5,Diesel,Automatic,236,23340000.0,First Owner,Luxury edition
Ferrari,Roma,2016,30416015,696,6.3,Petrol,Manual,222,12210000.0,First Owner,Well maintained
Ferrari,Roma,2012,57976005,584,5.1,Hybrid,Automatic,224,32460000.0,First Owner,
Ferrari,Roma,2012,29387970,669,5.0,Diesel,Manual,265,13370000.0,First Owner,Luxury edition
Ferrari,Roma,2010,43374201,589,6.7,Petrol,Manual,253,21450000.0,First Owner,Imported
Ferrari,Roma,2021,31708352,609,4.4,Diesel,Manual,306,19190000.0,Second Owner,Single owner
Ferrari,Roma,2022,36656737,629,4.7,Diesel,Automatic,285,15150000.0,Second Owner,Imported
Ferrari,Roma,2015,26914436,589,6.2,Hybrid,Automatic,287,11860000.0,First Owner,Imported
Ferrari,Roma,2021,49565403,665,6.7,Diesel,Manual,288,31110000.0,Third Owner,Well maintained
Ferrari,Roma,2012,26225241,700,5.8,Diesel,Automatic,326,15920000.0,First Owner,Imported
Ferrari,Roma,2013,21733867,662,6.9,Diesel,Manual,221,14400000.0,Second Owner,
Ferrari,Roma,2019,35983425,574,6.1,Petrol,Manual,241,17610000.0,Second Owner,Well maintained
Ferrari,Roma,2022,46700966,582,5.7,Diesel,Automatic,239,31390000.0,Second Owner,Well maintained
Ferrari,Roma,2022,31899760,719,5.6,Petrol,Automatic,274,14020000.0,Third Owner,Single owner
Ferrari,Roma,2013,42162692,676,5.5,Diesel,Automatic,275,23150000.0,First Owner,Luxury edition
Ferrari,Roma,2020,23871209,653,4.3,Diesel,Manual,259,11620000.0,Third Owner,Luxury edition
Ferrari,Roma,2016,57304625,651,5.4,Diesel,Automatic,282,31030000.0,Second Owner,Single owner
Ferrari,Roma,2019,57012512,590,6.9,Diesel,Automatic,247,35550000.0,Second Owner,Imported
Ferrari,Roma,2021,53172438,567,6.3,Petrol,Automatic,224,25940000.0,Third Owner,Luxury edition
Ferrari,Roma,2023,38905129,666,4.5,Hybrid,Manual,265,17060000.0,Second Owner,
Ferrari,Roma,2011,39076941,622,4.1,Petrol,Manual,284,18130000.0,First Owner,Luxury edition
Ferrari,Roma,2012,25991541,698,5.8,Hybrid,Automatic,314,16450000.0,Second Owner,
Ferrari,Roma,2020,20538261,588,5.9,Petrol,Manual,316,9990000.0,First Owner,Luxury edition
Ferrari,Roma,2022,37279430,705,5.6,Hybrid,Automatic,325,16520000.0,First Owner,Single owner
Ferrari,Roma,2017,40045146,628,6.2,Hybrid,Automatic,323,17700000.0,Third Owner,Imported
Ferrari,Roma,2016,42225193,680,4.2,Hybrid,Manual,323,20360000.0,First Owner,
Ferrari,Roma,2015,55904812,565,6.9,Petrol,Manual,290,33700000.0,Third Owner,Luxury edition
Ferrari,Roma,2023,48923741,571,5.2,Diesel,Automatic,248,25480000.0,Third Owner,Well maintained
Ferrari,Roma,2023,48604814,569,6.9,Petrol,Automatic,279,28900000.0,Second Owner,Imported
Ferrari,Roma,2021,18416555,681,4.1,Diesel,Automatic,297,10670000.0,Second Owner,Imported
Ferrari,Roma,2013,47639866,710,6.3,Diesel,Manual,229,23660000.0,First Owner,Single owner
Ferrari,Roma,2021,35441779,670,5.8,Petrol,Automatic,253,15730000.0,Third Owner,Imported
Ferrari,Roma,2019,44720634,593,6.8,Diesel,Automatic,288,21300000.0,Second Owner,Well maintained
Ferrari,Roma,2022,27619013,719,4.1,Hybrid,Automatic,267,11130000.0,Second Owner,
Ferrari,Roma,2013,41062464,573,4.2,Diesel,Automatic,304,19510000.0,Second Owner,Luxury edition
Ferrari,Roma,2019,59469416,560,4.5,Petrol,Manual,317,31280000.0,Third Owner,Single owner
Ferrari,Roma,2018,18974862,706,6.6,Petrol,Manual,282,8930000.0,First Owner,Single owner
Ferrari,Roma,2013,42750869,703,6.6,Hybrid,Automatic,284,24190000.0,Second Owner,Luxury edition
Ferrari,Roma,2022,19082975,644,4.2,Diesel,Automatic,265,9780000.0,Second Owner,Single owner
Ferrari,Roma,2014,58434622,665,6.0,Diesel,Manual,299,27880000.0,First Owner,Single owner
Ferrari,Roma,2016,29597930,640,5.6,Hybrid,Automatic,277,20510000.0,Second Owner,Imported
Ferrari,Roma,2010,57454550,643,4.5,Hybrid,Automatic,310,30630000.0,Third Owner,Luxury edition
Ferrari,Roma,2019,53790685,610,4.6,Petrol,Manual,235,37430000.0,First Owner,
Ferrari,Roma,2011,28681046,613,5.9,Diesel,Automatic,316,18630000.0,Third Owner,Imported
Ferrari,Roma,2021,48853598,694,6.6,Hybrid,Automatic,282,33100000.0,Second Owner,Luxury edition
Ferrari,Roma,2020,46593072,636,5.3,Hybrid,Manual,272,27830000.0,Third Owner,Imported
Ferrari,Roma,2021,23331022,653,4.9,Hybrid,Automatic,295,11830000.0,Third Owner,Imported
Ferrari,Roma,2017,40523543,643,6.2,Diesel,Automatic,296,21720000.0,Third Owner,Single owner
Ferrari,Roma,2022,46690132,590,5.4,Hybrid,Manual,266,30570000.0,First Owner,Well maintained
Ferrari,Roma,2016,20544902,560,5.4,Hybrid,Automatic,235,8620000.0,Second Owner,Well maintained
Ferrari,Roma,2017,38803546,565,5.8,Petrol,Automatic,285,19560000.0,Third Owner,
Ferrari,Roma,2012,28816154,665,4.3,Hybrid,Manual,326,18440000.0,Second Owner,
Ferrari,Roma,2022,31561454,648,5.1,Hybrid,Automatic,233,16140000.0,Third Owner,Luxury edition
Ferrari,Roma,2022,55297536,635,6.3,Petrol,Automatic,272,38240000.0,Third Owner,Imported
Ferrari,Roma,2022,52107666,566,6.3,Hybrid,Automatic,299,33080000.0,First Owner,Single owner
Ferrari,Roma,2011,32663090,638,6.9,Diesel,Manual,307,19240000.0,Second Owner,Luxury edition
Ferrari,Roma,2015,47433540,669,4.5,Hybrid,Automatic,286,31300000.0,Third Owner,Imported
Ferrari,Roma,2012,31547501,693,5.3,Petrol,Automatic,295,16110000.0,Third Owner,Single owner
Ferrari,Roma,2013,47471191,565,4.2,Petrol,Manual,254,20710000.0,Second Owner,Single owner
Ferrari,Roma,2017,39452953,637,6.4,Petrol,Automatic,329,23020000.0,Second Owner,Single owner
Ferrari,Roma,2022,25616016,672,5.4,Petrol,Automatic,256,11150000.0,First Owner,
Ferrari,Roma,2022,46968661,658,5.8,Hybrid,Manual,292,22670000.0,Second Owner,
Ferrari,Roma,2014,33942181,689,5.2,Diesel,Manual,233,15680000.0,First Owner,Luxury edition
Ferrari,Roma,2012,25531152,613,5.9,Petrol,Automatic,266,16920000.0,First Owner,Well maintained
Ferrari,Roma,2022,47146421,684,6.3,Petrol,Manual,326,29150000.0,Third Owner,
Ferrari,Roma,2013,51638805,711,5.9,Hybrid,Automatic,264,33810000.0,Third Owner,Luxury edition
Ferrari,Roma,2021,35029744,641,5.8,Diesel,Automatic,231,17850000.0,First Owner,Single owner
Ferrari,Roma,2016,43158592,693,4.2,Diesel,Automatic,226,22650000.0,Third Owner,
Ferrari,Roma,2010,38083122,603,4.4,Diesel,Manual,297,18610000.0,Third Owner,Luxury edition
Ferrari,Roma,2015,19939769,592,5.3,Diesel,Automatic,304,13030000.0,Second Owner,
Ferrari,Roma,2010,59825066,629,5.2,Diesel,Automatic,326,39760000.0,Second Owner,
Ferrari,Roma,2016,48955302,633,6.7,Petrol,Automatic,245,20430000.0,Third Owner,Luxury edition
Ferrari,Roma,2022,26792847,640,5.5,Hybrid,Manual,241,15520000.0,First Owner,Single owner
Ferrari,Roma,2011,31167516,663,4.7,Diesel,Manual,232,18730000.0,Second Owner,Imported
Ferrari,Roma,2015,47583688,643,6.6,Hybrid,Automatic,327,30890000.0,Second Owner,Well maintained
Ferrari,Roma,2017,41693238,574,4.1,Diesel,Automatic,257,22830000.0,Third Owner,Well maintained
Ferrari,Roma,2014,45177179,668,5.9,Petrol,Manual,273,26360000.0,Third Owner,Single owner
Ferrari,Roma,2020,51771663,693,6.4,Hybrid,Automatic,226,32190000.0,Third Owner,Luxury edition
Ferrari,Roma,2017,20710220,686,5.3,Petrol,Automatic,261,9240000.0,First Owner,Luxury edition
Ferrari,Roma,2017,39247456,677,5.0,Petrol,Manual,295,17280000.0,Third Owner,Imported
Ferrari,Roma,2019,25630791,577,4.3,Hybrid,Manual,313,10690000.0,First Owner,
Ferrari,Roma,2016,30371675,646,6.5,Hybrid,Automatic,233,12850000.0,Third Owner,Imported
Ferrari,Roma,2021,44668044,671,6.0,Diesel,Automatic,267,28280000.0,Second Owner,Well maintained
Ferrari,Roma,2016,25676007,681,4.6,Hybrid,Manual,272,11690000.0,Second Owner,
Ferrari,Roma,2022,54928243,670,6.1,Hybrid,Manual,278,33270000.0,First Owner,Imported
Ferrari,Roma,2021,53237016,560,5.4,Hybrid,Automatic,256,35150000.0,Third Owner,Well maintained
Ferrari,Roma,2022,59536745,678,4.2,Diesel,Automatic,220,40470000.0,Third Owner,Imported
Ferrari,Roma,2019,25018487,588,4.8,Diesel,Automatic,270,11110000.0,First Owner,Single owner
Ferrari,Roma,2015,45939375,686,6.6,Diesel,Manual,262,29130000.0,Third Owner,
Ferrari,Roma,2019,52234812,564,4.7,Petrol,Automatic,281,25720000.0,First Owner,Luxury edition
Ferrari,Roma,2017,36893049,598,4.2,Hybrid,Manual,285,16580000.0,Second Owner,Imported
Ferrari,Roma,2019,37981443,571,5.8,Diesel,Automatic,281,24760000.0,First Owner,
Ferrari,Roma,2016,36676626,613,4.3,Diesel,Automatic,316,24300000.0,Third Owner,Luxury edition
Ferrari,Roma,2011,19069734,667,4.9,Petrol,Automatic,300,8230000.0,First Owner,Luxury edition
Ferrari,Roma,2015,44782735,558,4.0,Hybrid,Automatic,246,22530000.0,Third Owner,Luxury edition
Ferrari,Roma,2023,58304513,701,5.1,Hybrid,Manual,236,24910000.0,First Owner,Imported
Ferrari,Roma,2010,20949289,573,5.6,Hybrid,Manual,308,8730000.0,Second Owner,
Ferrari,Roma,2019,22639925,681,6.1,Hybrid,Manual,307,15570000.0,First Owner,Luxury edition
Ferrari,Roma,2012,56102654,558,4.5,Hybrid,Automatic,301,23580000.0,Third Owner,Luxury edition
Ferrari,Roma,2014,51713699,656,5.2,Diesel,Manual,267,30440000.0,Second Owner,Luxury edition
Ferrari,Roma,2014,57288295,583,5.1,Petrol,Manual,291,23250000.0,First Owner,Imported
Ferrari,Roma,2014,41333846,565,4.3,Petrol,Manual,230,27530000.0,Second Owner,Well maintained
Ferrari,Roma,2019,21289463,564,5.2,Diesel,Automatic,249,10400000.0,First Owner,Imported
Ferrari,Roma,2017,42707105,603,6.9,Hybrid,Manual,277,25960000.0,Third Owner,
Ferrari,Roma,2013,27532801,607,4.8,Hybrid,Manual,289,14950000.0,First Owner,Single owner
Ferrari,Roma,2015,50286117,715,6.1,Diesel,Manual,307,23610000.0,First Owner,Imported
Ferrari,Roma,2018,29209489,593,4.2,Hybrid,Automatic,307,18240000.0,Second Owner,Single owner
Ferrari,Roma,2021,49231984,707,4.4,Hybrid,Manual,325,34100000.0,Third Owner,
Ferrari,Roma,2010,48199771,691,7.0,Diesel,Manual,324,31130000.0,Third Owner,Luxury edition
Ferrari,Roma,2010,19730098,565,4.7,Diesel,Manual,283,8490000.0,Second Owner,Well maintained
Ferrari,Roma,2011,31540477,664,5.2,Diesel,Automatic,309,16840000.0,Second Owner,Single owner
Ferrari,Roma,2023,39690574,601,6.2,Petrol,Manual,303,18610000.0,Second Owner,Single owner
BMW,X7,2013,8444707,333,10.7,Hybrid,Automatic,220,4870000.0,Second Owner,Single owner
BMW,X7,2020,9001451,370,8.0,Hybrid,Automatic,274,5270000.0,Third Owner,
BMW,X7,2021,13889301,357,9.5,Hybrid,Manual,223,6060000.0,Second Owner,Imported
BMW,X7,2022,12751820,266,12.9,Diesel,Manual,306,6750000.0,Second Owner,Single owner
BMW,X7,2022,12954782,280,10.8,Hybrid,Automatic,256,8450000.0,First Owner,
BMW,X7,2022,9870588,339,13.2,Hybrid,Automatic,254,6260000.0,Third Owner,Luxury edition
BMW,X7,2021,11670045,261,10.0,Hybrid,Manual,284,5720000.0,First Owner,
BMW,X7,2010,10504599,447,13.9,Petrol,Manual,324,7070000.0,Third Owner,
BMW,X7,2022,11085956,403,10.3,Diesel,Automatic,236,7620000.0,Third Owner,Single owner
BMW,X7,2023,12610902,421,9.2,Diesel,Manual,240,6280000.0,First Owner,Luxury edition
BMW,X7,2018,8535628,398,11.5,Diesel,Manual,270,4500000.0,Second Owner,Single owner
BMW,X7,2012,9236685,308,8.9,Petrol,Manual,266,3820000.0,First Owner,Luxury edition
BMW,X7,2015,10819454,365,12.1,Petrol,Manual,239,7370000.0,First Owner,Well maintained
BMW,X7,2014,8455479,335,13.0,Diesel,Automatic,221,5020000.0,First Owner,Well maintained
BMW,X7,2015,9067306,437,12.9,Diesel,Manual,240,6230000.0,Third Owner,Single owner
BMW,X7,2022,10108612,337,11.1,Diesel,Automatic,288,4670000.0,Third Owner,
BMW,X7,2010,11430129,325,9.9,Diesel,Automatic,307,5310000.0,Second Owner,Luxury edition
BMW,X7,2021,13151167,365,13.5,Hybrid,Manual,309,8460000.0,Second Owner,Well maintained
BMW,X7,2016,8470201,422,13.4,Diesel,Automatic,267,4860000.0,First Owner,Imported
BMW,X7,2020,11157243,287,10.7,Diesel,Manual,252,7160000.0,Third Owner,Luxury edition
BMW,X7,2018,9051483,253,13.3,Petrol,Manual,288,4510000.0,First Owner,Single owner
BMW,X7,2019,12237899,425,9.0,Hybrid,Manual,225,8310000.0,Third Owner,Single owner
BMW,X7,2019,11761734,278,11.7,Petrol,Automatic,284,7770000.0,Third Owner,Single owner
BMW,X7,2011,8007697,329,11.6,Petrol,Automatic,297,5450000.0,Third Owner,Well maintained
BMW,X7,2014,8183882,398,12.5,Hybrid,Manual,263,4940000.0,First Owner,Single owner
BMW,X7,2019,14225394,275,8.6,Diesel,Manual,244,7770000.0,First Owner,Well maintained
BMW,X7,2015,13225874,274,10.7,Petrol,Automatic,302,9040000.0,Third Owner,Well maintained
BMW,X7,2014,12551517,357,12.9,Hybrid,Manual,288,7800000.0,First Owner,
BMW,X7,2013,9910642,441,9.5,Petrol,Manual,274,4760000.0,Second Owner,
BMW,X7,2021,12893819,267,10.6,Petrol,Automatic,244,6070000.0,First Owner,
BMW,X7,2018,10654176,445,13.9,Petrol,Automatic,287,7180000.0,First Owner,Luxury edition
BMW,X7,2012,14918337,326,8.4,Diesel,Manual,308,9460000.0,Third Owner,
BMW,X7,2012,12916340,319,13.9,Petrol,Automatic,238,8170000.0,Third Owner,Imported
BMW,X7,2013,8379984,445,11.7,Hybrid,Manual,306,5440000.0,Second Owner,
BMW,X7,2010,12668586,380,11.2,Hybrid,Manual,324,5570000.0,Second Owner,Well maintained
BMW,X7,2023,12974555,424,12.1,Petrol,Manual,275,8540000.0,Third Owner,Imported
BMW,X7,2021,14796039,252,10.0,Hybrid,Automatic,271,9700000.0,Third Owner,Well maintained
BMW,X7,2013,12730950,382,11.4,Petrol,Manual,225,8230000.0,First Owner,Single owner
BMW,X7,2013,11323434,258,11.0,Hybrid,Automatic,240,5200000.0,Second Owner,Well maintained
BMW,X7,2011,8216617,392,13.9,Petrol,Manual,318,4210000.0,Second Owner,Well maintained
BMW,X7,2016,11457351,326,13.7,Petrol,Manual,298,5590000.0,Second Owner,
BMW,X7,2012,12394520,265,12.8,Petrol,Manual,269,7060000.0,Third Owner,Single owner
BMW,X7,2013,12664824,406,12.9,Petrol,Automatic,324,8420000.0,Third Owner,Well maintained
BMW,X7,2022,9197030,269,9.0,Diesel,Automatic,251,4640000.0,First Owner,Luxury edition
BMW,X7,2019,8353012,273,10.4,Hybrid,Manual,272,5350000.0,Third Owner,Single owner
BMW,X7,2017,8727993,385,8.1,Hybrid,Manual,315,4360000.0,Third Owner,
BMW,X7,2013,12611564,446,9.1,Diesel,Manual,298,6510000.0,Second Owner,Luxury edition
BMW,X7,2011,8632978,407,13.7,Diesel,Automatic,301,5800000.0,Second Owner,Luxury edition
BMW,X7,2022,12466052,352,13.8,Diesel,Automatic,249,8150000.0,Third Owner,
BMW,X7,2020,14859927,416,9.5,Petrol,Manual,251,7280000.0,Third Owner,Imported
BMW,X7,2020,9623512,414,11.1,Petrol,Manual,226,4740000.0,Third Owner,Single owner
BMW,X7,2022,13578694,252,11.4,Petrol,Manual,300,8210000.0,First Owner,Single owner
BMW,X7,2018,12736623,371,12.7,Hybrid,Automatic,283,6890000.0,Second Owner,Single owner
BMW,X7,2023,11226236,293,9.3,Diesel,Automatic,306,7330000.0,Second Owner,Imported
BMW,X7,2012,9284955,266,11.6,Hybrid,Automatic,319,5840000.0,First Owner,Single owner
BMW,X7,2019,12596994,369,13.5,Hybrid,Automatic,314,6470000.0,Third Owner,
BMW,X7,2012,9797899,252,9.0,Diesel,Manual,222,4170000.0,Second Owner,Single owner
BMW,X7,2012,9240633,301,12.3,Diesel,Automatic,257,4250000.0,First Owner,Luxury edition
BMW,X7,2011,11808132,330,13.7,Petrol,Manual,274,6400000.0,First Owner,Well maintained
BMW,X7,2011,13248358,271,8.0,Petrol,Manual,229,7670000.0,Third Owner,
BMW,X7,2022,11292889,393,10.0,Hybrid,Manual,295,5790000.0,Second Owner,
BMW,X7,2019,13763597,418,8.1,Petrol,Manual,237,5840000.0,Second Owner,Well maintained
BMW,X7,2021,8150543,286,8.5,Hybrid,Automatic,301,5620000.0,Third Owner,
BMW,X7,2010,10339979,283,9.3,Petrol,Automatic,268,5970000.0,Third Owner,Imported
BMW,X7,2011,8361517,421,11.2,Hybrid,Automatic,247,5430000.0,Second Owner,Single owner
BMW,X7,2015,12681720,290,11.4,Diesel,Automatic,251,5220000.0,First Owner,
BMW,X7,2011,9673071,362,12.8,Petrol,Manual,273,6400000.0,Third Owner,Imported
BMW,X7,2013,11728603,437,8.9,Hybrid,Automatic,266,4770000.0,First Owner,Imported
BMW,X7,2020,14254276,308,13.4,Diesel,Manual,328,6450000.0,Second Owner,Imported
BMW,X7,2023,9983266,270,12.3,Petrol,Manual,250,6410000.0,Second Owner,
BMW,X7,2018,10054515,360,11.5,Hybrid,Manual,292,6860000.0,First Owner,Luxury edition
BMW,X7,2017,9955621,418,9.8,Hybrid,Automatic,304,6480000.0,Second Owner,Well maintained
BMW,X7,2014,10001042,415,10.4,Diesel,Manual,244,5890000.0,First Owner,Imported
BMW,X7,2019,12839173,317,11.3,Hybrid,Manual,250,7680000.0,First Owner,Single owner
BMW,X7,2014,10957328,321,13.4,Diesel,Manual,247,7550000.0,First Owner,
BMW,X7,2023,11359507,392,13.8,Petrol,Manual,287,6650000.0,First Owner,Luxury edition
